OBJECTID,AGENCYNAME,SOURCE,AGENCYUNIQUEID,LASTMODIFIEDDATE,MODIFIEDBY,SOURCECOMMENTS,Date_Data_Applies_To,GlobalID
1,Del Puerto Water District,SCRO,706,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{E53FAE01-633C-44AA-9958-3956EDF8E43D}
2,West Stanislaus Irrigation District,SCRO,2688,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{1FE35070-C4AE-494F-8931-A9923C0E6909}
3,El Solyo Water District,SCRO,828,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{6480F269-E2FA-450F-8049-77430506A12F}
6,Rock Creek Water District,SCRO,2098,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{2DA97EC0-A4DF-434D-A2CF-B8B538B42107}
8,Turlock Irrigation District,SCRO,2525,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{7A193304-52E6-41D2-AB91-C05EE8CA1DB8}
9,Eastside Water District,SCRO,802,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{C6004D4A-E9B8-4ECD-A9B2-0F1464BC1160}
12,Sierra Water District,SCRO,2296,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{7BC57504-CAC1-449E-BF36-7E58B6FEB33D}
14,Grassland Water District,SCRO,1077,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{172EAA2A-9305-4B10-A14A-D185CE1E67F0}
15,San Luis Water District,SCRO,2189,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{64BEAEF8-C530-4BDB-AADB-3CB34EFA69B0}
16,Santa Nella County Water District,SCRO,2221,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{4012FB24-029E-4666-B2CC-540F28DF54CF}
17,Lansdale Water District,SCRO,1379,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{B1AEE497-693E-46FE-A64A-D4EDEF16A12A}
18,Merquin County Water District,SCRO,1595,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{7B141B7E-B13C-4E11-8A09-9F972B8A1476}
20,Laguna Water District,SCRO,1339,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{1FDB03E6-F014-4851-A8E7-8A1570D83D58}
21,Panoche Water District,SCRO,1855,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{E66ED960-7FF4-4792-B459-D4A7992A01DA}
22,Pacheco Water District,SCRO,1829,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{D5293D25-9B58-48CD-97CE-FFC6085A598A}
23,Eagle Field Water District,SCRO,772,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{2FEF09E2-71C6-4743-87A3-5BE90F937382}
24,Ballico-Cortez Water District,SCRO,127,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{1A6EA383-75A3-4B8F-A22F-711384907535}
25,Le Grand - Athlone Water District,SCRO,1403,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{8916F50E-BA65-4E2F-81B9-046F248FE672}
26,Plainsburg Irrigation District,SCRO,1929,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{DD7B4B54-6378-4DF1-AF2C-C7AFDBFAB6B9}
28,Clayton Water District,SCRO,567,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{E1E8ACE5-2B31-4B3A-AD4E-F38C0FBAF807}
30,Gravely Ford Water District,SCRO,1079,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{FC845478-CF0D-460A-948B-F0707D46FFED}
31,Root Creek Water District,SCRO,2106,2016-07-20T11:42:43.000Z,SERYSIAN,,2013-11-07T00:00:00.000Z,{4284A918-2439-412E-955C-05D45D2AF0C2}
32,Fresno Irrigation District,SCRO,961,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{0EA9AE2A-51F2-4E0B-B3AA-E84D50D0DD42}
33,Stinson Water District,SCRO,2380,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{EC5CBE16-6B17-4456-95D4-B41266B1DEF4}
34,Pleasant Valley Community Water District,SCRO,1938,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{814E0BA4-6CF5-4195-9540-57CC314B40B3}
35,Tranquility Irrigation District,SCRO,2499,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{0128AE70-0265-450E-9DCA-6824B7073E6E}
37,Mid-Valley Water District,SCRO,1606,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{6680A2DB-9492-467B-97C2-91BA49BEC9CB}
